Brand,Series,Variant,RAM(GB),Storage(GB),Platform,Condition,Battery(mAh),Camera(MP),Release Year,Reviews,Ratings,Price(₹)
Samsung,Z24,Ultra,8,64,Flipkart,Used,6000,108,2024,9266,3.7,187000
Samsung,S22,X,12,128,Tata Cliq,Good,4500,64,2025,2976,4,47295
Samsung,Y20,Pro Max,4,128,Flipkart,Like New,5200,48,2025,544,4.9,18129
Google,Pixel 6,X,4,256,Tata Cliq,Used,5200,12,2023,890,4.5,53500
Samsung,Z22,Pro Max,6,64,Amazon,Like New,5200,12,2025,8613,4.4,157750
Samsung,A55,Ultra,8,512,Offline Store,Refurbished,5000,12,2024,4650,4.6,46200
OnePlus,OnePlus 12,FE,12,128,Official Store,Good,4000,12,2023,3892,4.1,66500
Oppo,Reno 9,Pro,8,256,Croma,Refurbished,4000,108,2021,3488,3.5,39037
Samsung,F23,Pro,12,64,Official Store,Good,4500,200,2021,8056,3.7,150250
Vivo,V25,Lite,6,64,Croma,Like New,4500,48,2024,4939,3.6,25530
OnePlus,X,Ultra,4,512,Reliance Digital,Refurbished,5200,200,2025,1740,3.6,43000
Samsung,A25,Pro,8,64,Tata Cliq,Refurbished,5200,108,2022,2990,5,22588
Samsung,Y15,Ultra,4,512,Flipkart,Used,4000,108,2023,5829,4.2,16829
Xiaomi,Redmi Note 13,Plus,6,512,Tata Cliq,Good,4000,48,2023,321,4.1,18257
Samsung,Y15,Plus,12,256,Amazon,Used,5000,64,2024,584,3.7,9400
Google,Pixel 9,FE,4,256,Reliance Digital,Like New,6000,64,2024,4136,4.8,71345
Samsung,M34,Pro,8,128,Croma,Refurbished,5000,200,2024,351,3.6,21627
Vivo,V40,X,6,512,Official Store,Used,4500,108,2021,1115,4.6,49600
Oppo,Reno 10,Ultra,8,128,Reliance Digital,Used,5200,48,2025,2747,4,51000
Vivo,V25,FE,8,64,Official Store,Refurbished,5200,64,2021,3132,4.6,22500
Oppo,Reno 9,X,8,256,Reliance Digital,Like New,4000,200,2021,9597,4.8,39730
Oppo,Find X5,Lite,6,256,Croma,Good,4500,64,2024,6473,4.7,68500
Google,Pixel 8,Ultra,12,512,Croma,Like New,4000,12,2024,2461,4,92658
Vivo,V40,Lite,4,512,Amazon,Refurbished,6000,64,2024,4004,3.9,39100
Apple,i16,Base,6,256,Flipkart,Good,5000,12,2024,2050,4.3,64000
Apple,i16,Lite,4,256,Offline Store,Used,4500,48,2023,599,5,67450
Motorola,G31,T,12,256,Official Store,Good,5500,200,2023,637,3.5,15892
Oppo,Reno 8,Ultra,4,64,Croma,Like New,6000,108,2025,2287,4.6,47786
OnePlus,X2,Ultra,6,64,Croma,Good,5200,12,2021,1096,4.1,51000
OnePlus,X2,Pro Max,4,64,Tata Cliq,Used,5200,200,2025,5173,4.7,49250
OnePlus,OnePlus 11,X,4,128,Croma,Used,4000,200,2022,9905,4.8,60000
Vivo,V60,Base,8,256,Amazon,Like New,4500,64,2023,8482,4.2,45450
Apple,i17,Ultra,8,512,Flipkart,Good,5200,64,2025,6562,4.9,227000
Samsung,S25,Pro Max,6,256,Offline Store,Used,5000,64,2024,3147,4.8,126750
Motorola,G71,Lite,6,128,Offline Store,Refurbished,5500,64,2025,4125,3.8,15806
Realme,GT Neo 3,Base,8,256,Tata Cliq,Used,4000,200,2023,2378,4.3,20000
OnePlus,OnePlus 9,Base,12,64,Tata Cliq,Used,6000,12,2021,4896,3.6,37000
Samsung,F22,Base,12,512,Amazon,Like New,5500,64,2024,1543,4.9,106897
Apple,i11,Plus,6,256,Croma,Good,5000,64,2023,6168,4.8,31125
OnePlus,T10,Lite,8,64,Reliance Digital,Good,5500,12,2022,4290,3.9,47526
Vivo,V27,Plus,8,64,Offline Store,Like New,4500,64,2024,335,4.6,31977
Xiaomi,Redmi Note 12,Neo,4,256,Offline Store,Used,4000,64,2022,6648,4.2,10750
Google,Pixel 6,Pro Max,12,128,Flipkart,Good,5500,200,2021,716,4.2,64750
Samsung,F22,Base,6,256,Amazon,Good,4500,64,2025,5387,3.9,105000
Oppo,Reno 10,FE,4,128,Flipkart,Used,6000,12,2023,287,3.8,33500
Samsung,Y15,Ultra,8,512,Official Store,Like New,4500,48,2021,8862,4.7,16541
Google,Pixel 9,X,6,128,Flipkart,Good,4000,48,2025,3284,4.4,84700
Vivo,V27,Pro Max,4,64,Amazon,Refurbished,6000,108,2025,4100,4.8,41500
Samsung,Y15,Pro Max,4,64,Flipkart,Like New,5000,48,2021,9448,4.6,15370
Oppo,Find X5,Ultra,8,512,Official Store,Used,5200,48,2023,8729,3.8,107000
OnePlus,OnePlus 9,Neo,4,512,Official Store,Used,6000,12,2022,8799,3.8,39100
Google,Pixel 6,Base,8,512,Official Store,Like New,5000,64,2023,6708,4.3,45392
Realme,GT 2,Base,6,128,Offline Store,Used,5000,12,2024,9599,4.5,15151
OnePlus,T8,Pro,8,64,Offline Store,Like New,6000,64,2024,7058,4.5,49000
Samsung,S21,Pro,8,512,Flipkart,Refurbished,4000,48,2023,8612,4.5,42250
Samsung,A35,Lite,12,256,Tata Cliq,Refurbished,4500,48,2024,2962,4,24116
Vivo,V30,Pro Max,12,256,Tata Cliq,Good,6000,64,2025,9814,4.1,54869
Oppo,Reno 8,Plus,12,128,Croma,Refurbished,5200,64,2023,8968,4.1,31000
Motorola,G71,Neo,12,256,Offline Store,Refurbished,6000,12,2025,8599,4,15092
OnePlus,T9,Lite,8,256,Official Store,Like New,5500,48,2023,807,4.7,44112
Nothing,Phone 2,Neo,12,512,Reliance Digital,Like New,5500,200,2021,8833,4.5,35798
Oppo,Find X5,Pro,4,256,Tata Cliq,Used,5000,200,2023,3095,5,89500
Samsung,Z22,Pro Max,4,256,Amazon,Refurbished,4500,64,2024,2294,4.2,157750
OnePlus,OnePlus 10,T,4,128,Amazon,Good,4000,48,2025,3182,4,55000
Samsung,A75,X,12,128,Official Store,Refurbished,4000,64,2024,5177,4.6,53500
Samsung,A15,FE,12,128,Official Store,Good,5000,12,2024,3830,4.9,16588
OnePlus,X2,Plus,8,256,Tata Cliq,Refurbished,4500,200,2021,4040,3.8,37000
Samsung,S23,Plus,12,64,Official Store,Like New,6000,12,2024,6747,4,49000
Motorola,Edge 40,Neo,6,256,Offline Store,Refurbished,4000,64,2025,3787,4.5,26577
Motorola,G71,Base,12,64,Offline Store,Refurbished,5200,64,2025,429,4.4,16417
Samsung,Z22,Neo,8,512,Offline Store,Like New,5000,64,2025,9021,4.7,105250
OnePlus,T9,T,4,256,Offline Store,Refurbished,4000,64,2022,4726,3.9,51250
Apple,i11,Pro,8,128,Tata Cliq,Good,5000,108,2025,277,3.9,37552
OnePlus,OnePlus 10,Ultra,6,128,Flipkart,Good,5500,12,2022,2819,4.5,71800
OnePlus,OnePlus 9,Base,4,256,Official Store,Refurbished,5000,12,2022,910,4.5,37568
